EMPLOYEE_ID,RATINGS_2021,JOB_FAMILY_GROUP,MANAGER_ID,GENDER,TERMINATION_TYPE,STATUS,JOB_PROFILE_NAME,JOB_FAMILY_DESC,WORK_ADDRESS_COUNTRY,engagement_score,risk_score,Promotional_Opportunities,Relationship_with_manager
1010346,On Track,Information Technology,1255564,Male,None,Active,Senior Manager - IT Product Support,IT PRODUCT SUPPORT,United States of America,88,0.506879632,-9999,-9999
1021527,Stand Out,Real Estate & Facilities,797701,Female,None,Active,Lead Coordinator - Facilities,FACILITIES,Singapore,17,0.308881908,-9999,-9999
580024,On Track,Information Technology,868655,Female,None,Active,Leader - IT Management,IT MANAGEMENT,United States of America,15,0.367772956,-9999,-9999
580101,On Track,Information Technology,511341,Female,None,Active,Specialist - IT Product Support,IT PRODUCT SUPPORT,United States of America,58,0.468085619,-9999,-9999
1020777,Stand Out,Information Technology,613001,Male,None,Active,Senior Specialist - IT Systems Engineering,IT SYSTEMS ENGINEERING,Colombia,39,0.23093786,-9999,-9999
1097687,Stand Out,Information Technology,1082891,Male,None,Active,Senior Manager - Systems Administration,SYSTEMS ADMINISTRATION,United Kingdom,50,0.226134277,-9999,-9999
1097705,On Track,Finance,1220421,Male,None,Active,Senior Manager - Tax Advisory,TAX ADVISORY,Argentina,92,0.167922149,-9999,-9999
1097096,On Track,Finance,1118911,Male,None,Active,Staff Accountant II,GENERAL ACCOUNTING,Poland,8,0.365052786,-9999,-9999
1109235,Stand Out,Information Technology,816859,Male,None,Active,Specialist - Onsite Technical Support,ONSITE TECHNICAL SUPPORT,United Kingdom,74,0.795173358,-9999,-9999
1109236,On Track,Information Technology,1106219,Male,None,Active,Specialist - IT Product Management,IT PRODUCT MANAGEMENT,United Kingdom,75,0.443542379,-9999,-9999
1199760,On Track,Finance,1187796,Female,None,Active,Senior Analyst - Treasury Operations,TREASURY OPERATIONS,United States of America,46,0.550174055,-9999,-9999
1199592,On Track,Information Technology,783093,Male,None,Active,Senior Analyst - Onsite Technical Support,ONSITE TECHNICAL SUPPORT,Spain,2,0.571033401,-9999,-9999
1191776,On Track,Finance,1113118,Female,None,Active,Staff Accountant II,GENERAL ACCOUNTING,Poland,39,0.289218949,-9999,-9999
